MethodicId;TubeNumber;ChanelName;MethodicName;Status;MethodicSteps;Data
83d7d2ba-2f43-4978-90f5-f68a7511db6c;13.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2410.365 2411.292 2417.823 2423.552 2424.844 2432.417 2439.448 2438.646 2437.74 2441.76 2444.073 2441.573 2446.292 2443.125 2446.01 2445.958 2444.365 2448.51 2445.073 2444.344 2444.604 2446.583 2446.833 2452.469 2461.958 2462.688 2473.74 2485.708 2495.281 2505.094 2513.542 2516.646 2517.708 2520.042 2520.281 2522.302 2523.385 2526.01 2519.583 2522.24 2529.458 2523.354 2522.792 2525.323 2521.594]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;13.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2155.729 2154.344 2156.271 2156.479 2159.344 2160.552 2160.531 2163.042 2164.01 2165.563 2170.375 2165.896 2166.104 2169.927 2169.448 2166.115 2168.75 2167.427 2171.146 2176.969 2181.76 2192.604 2226.156 2274.677 2367.583 2514.521 2729.74 2979.219 3224.875 3429.802 3570.115 3666.469 3726.281 3757.854 3774.5 3781.792 3792.073 3796.479 3797.844 3800.844 3804.521 3801.427 3805.26 3806.469 3806.115]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;13.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2031.083 2035.604 2036.771 2037.271 2039.792 2038.208 2040.531 2042.583 2040.021 2044.771 2039.625 2042.771 2042.198 2040.406 2045.146 2043.646 2045.167 2047.333 2046.813 2044.74 2049.802 2047.823 2047.365 2046.781 2047.979 2051.875 2047.771 2050.021 2051.875 2052.542 2051.865 2055.302 2054.094 2058.188 2056.427 2053.99 2058.344 2059.823 2060.146 2060.729 2062.177 2064.188 2059.917 2060.635 2061.292]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;13.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2196.708 2195.813 2194.531 2205.5 2206.375 2203.927 2216.885 2215.229 2211.427 2214.396 2213.177 2215.281 2221.583 2214.552 2220.698 2220.271 2219.292 2223.063 2220.938 2223.542 2224.25 2221.792 2225.979 2221.125 2221.917 2226.719 2229.135 2223.115 2232.125 2233.635 2241.427 2247.25 2256.552 2260.469 2270.698 2273.677 2285.667 2297.26 2307.729 2318.417 2332.375 2343.104 2347.656 2359.542 2364.563]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;13.;Crimson;Ct (1-20) 281019 Br;Сомнительно отрицательный;45.;[2999.969 3003.51 3010.948 3022.646 3027.604 3040.031 3047.76 3050.344 3055.615 3061.031 3061.823 3056.99 3065.375 3065.927 3066.063 3065.49 3066.167 3067.219 3071.365 3069.969 3070.521 3070.208 3072.99 3077.01 3075.906 3078.719 3079.333 3080.885 3079.469 3087.24 3080.948 3086.583 3091 3096.885 3093.156 3100.323 3096.75 3101.823 3103.521 3104.344 3109.031 3109.802 3114.865 3114.01 3118.031]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;14.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2523.344 2494.792 2503.115 2508.385 2507.99 2508.313 2508.354 2508.438 2506.74 2504.469 2506.802 2507.094 2501.521 2505.531 2507.292 2504.688 2509 2508.771 2505.427 2507.177 2507.042 2506.021 2505.344 2506.635 2510.635 2514.073 2518.875 2527.385 2535.792 2552.031 2562.438 2571.031 2579.385 2581.198 2582.625 2583.073 2581.198 2589.156 2587.313 2588.938 2589.313 2587.885 2587.969 2590.927 2586.698]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;14.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2183.427 2174.75 2177.333 2175.219 2179.604 2175.094 2180.271 2176.24 2179.323 2176.24 2180.063 2178.677 2175.854 2176.604 2177.354 2179.927 2176.188 2181.313 2180.979 2178.833 2183.719 2188.49 2196.115 2219.271 2253.063 2326.385 2446.99 2636.49 2893.552 3188.521 3460.198 3670.74 3814.031 3902.74 3952.208 3976.406 4002.948 4011.656 4016.781 4016.427 4020.188 4022.51 4016.875 4019.646 4018.063]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;14.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2051.865 2047.552 2047.667 2049.063 2047.469 2048.198 2046.531 2048.104 2048.875 2051.094 2050.948 2053.219 2049.396 2049.927 2049.635 2049.948 2054.573 2050.604 2052.146 2048.938 2052.063 2050.927 2055.615 2053.01 2052.854 2053.115 2053.229 2055.771 2055.927 2060.688 2060.417 2062.25 2061.594 2065.25 2065.635 2061.063 2067.927 2066.917 2071.958 2066 2069.135 2071.469 2068.813 2073.333 2074.5]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;14.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2272.49 2243.76 2253.25 2252.229 2251.323 2255.865 2254.885 2253.896 2254.99 2257.552 2255.667 2260.302 2262.573 2256.125 2257.677 2260.781 2256.469 2258.25 2256.25 2260.021 2257.427 2258.75 2259.25 2263.844 2259.635 2262.135 2260.438 2264.427 2268.479 2265.156 2276.635 2288.688 2303.708 2324.708 2342.031 2355.906 2376.948 2395.292 2413.99 2441.708 2468.073 2483.417 2500.698 2509.052 2519.969]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;14.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3223.333 3129.542 3143.625 3152.542 3151.677 3147.76 3154.781 3152.375 3154.5 3156.146 3154.594 3155.677 3158.573 3159.302 3160.771 3159.698 3160.302 3162.979 3159.813 3159.813 3164.698 3162.813 3166.563 3163.167 3165.927 3167.344 3166.135 3170.083 3169.635 3171.219 3169.76 3171.688 3177.938 3179.302 3186.896 3183.458 3186.594 3191.75 3194.51 3199.906 3209.521 3203.438 3206.865 3209.188 3211.26]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;15.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2571.052 2534.344 2512 2512.792 2509.073 2510.042 2510.25 2510.521 2508.76 2509.5 2502.74 2509.323 2506.25 2506.854 2506.469 2508.76 2505.823 2505.896 2502.76 2507.177 2507.698 2509.854 2512.781 2512.01 2518.021 2520.792 2536.938 2552.146 2566 2577.646 2580.885 2585.094 2588.844 2593.063 2594.198 2590.625 2593.896 2596.573 2593.417 2592.906 2593.604 2591.969 2596.208 2594.333 2596.146]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;15.;HEX;Ct (1-20) 281019 Br;Положительный;45.;[2204.438 2193.906 2185.896 2182.625 2184.813 2185.635 2188.573 2184.688 2185.573 2185.125 2183.865 2185.74 2183.146 2186.615 2187.406 2183.594 2189.198 2189.344 2185.198 2193.104 2202.885 2224.625 2253.406 2311.615 2418.031 2597.688 2848.531 3139.885 3437.688 3674.958 3848.167 3955.104 4016.531 4055.24 4084.083 4090.594 4089.844 4106.396 4093.927 4099.219 4100.698 4107.427 4108.865 4099.625 4107.25]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;15.;ROX;Ct (1-20) 281019 Br;Отрицательный;45.;[2061.708 2055.031 2051.24 2050.198 2047.729 2051.865 2051.479 2053.031 2051.49 2055.323 2053.427 2055.125 2057.896 2053.854 2049.406 2057.365 2051.177 2056.885 2052.781 2056.688 2053.271 2052.219 2055.708 2057.542 2056.625 2058.271 2059.906 2061.073 2059.417 2063.531 2063.906 2066.729 2062.24 2066.042 2064 2066.865 2069.958 2067.531 2071.406 2069.26 2070.5 2072.604 2067.781 2073.719 2073.333]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;15.;Cy5;Ct (1-20) 281019 Br;Положительный;45.;[2337.323 2301.625 2273.24 2272.75 2273.844 2277.625 2275.448 2272.385 2274.427 2280.802 2280.365 2275.906 2276.365 2280.906 2280.104 2281.5 2283.656 2282.729 2287.083 2285.688 2281.833 2281.729 2284.354 2287.865 2286.073 2285.646 2290.625 2294.708 2294.583 2294.833 2303.688 2317.615 2327.198 2335.813 2348.781 2360.479 2366.375 2380.281 2396.229 2410.313 2426.667 2439.854 2447.563 2457.24 2461.417]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;15.;Crimson;Ct (1-20) 281019 Br;Отрицательный;45.;[3368.75 3264.521 3196.26 3195.75 3197.49 3194.438 3199.365 3196.479 3195.792 3194.073 3196.927 3200.271 3199.875 3199.156 3203.104 3201.333 3198.479 3201.177 3205.594 3203.417 3203.583 3203.49 3205.823 3208.281 3208.885 3210.51 3210.188 3211.188 3209.594 3211.521 3217.021 3218.271 3221.948 3220.427 3228.469 3226.833 3229.854 3230.854 3236.719 3239.177 3240.219 3242.177 3247.031 3244.667 3247.792]
83d7d2ba-2f43-4978-90f5-f68a7511db6c;16.;FAM;Ct (1-20) 281019 Br;Отрицательный;45.;[2586.813 2546.125 2525.156 2528.49 2527.49 2526.438 2524.885 2522.625 2526.708 2524.552 2524.833 2525.521 2522.875 2522.604 2522.5 2517.896 2521.813 2520.646 2521.896 2525.823 2517.188 2516.604 2523.469 2524.948 2521.656 2520.031 2521.469 2521.635 2524.125 2520.833 2523.969 2534.24 2542.76 2553.427 2568.177 2581.927 2588.292 2592.688 2599.615 2600.531 2603.688 2601.094 2602.917 2604.656 2601.781]
